# Pixel Table: 
# Pixel    Wavelength [Å]
    47.51    3820.68
    59.45    3889.75
    72.01    3965.84
    82.24    4027.33
   152.87    4472.73
   221.06    4923.31
   234.93    5017.07
   291.15    5402.06
   343.32    5766.02
   359.20    5877.25
   396.91    6144.77
   433.17    6404.02
   447.62    6508.33
   471.51    6680.05
   520.39    7034.36
   524.85    7067.14
   549.51    7247.16
   575.90    7440.95
   582.70    7490.93
   670.49    8138.64
   692.43    8302.61
   702.67    8379.91
   718.49    8497.70
   774.97    8921.95
   805.20    9151.20
   841.70    9427.97
   423.66    6336.19
   414.18    6268.23
   460.53    6600.78
   506.20    6931.39
   189.82    4714.47
   368.94    5946.48
   390.29    6097.86
